Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
Fuentes;Gigabyte;320;FUENTE 650W GIGABYTE GP-P650G 80+ GOLD ;;;60,79;21,00%;30,00%;40,00%;0,00;SI;102,98;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;121;FUENTE 650W GIGABYTE P650B 80+ BRONZE ;;;51,38;21,00%;30,00%;30,00%;0,00;SI;80,82;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;120;FUENTE 750W GIGABYTE P750GM 80+ GOLD FULL MODULAR (USADO) ;;;30.165,91;21,00%;30,00%;300,00%;99.173,55;SI;120.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;258;FUENTE 850W GIGABYTE P850GM GOLD MODULAR (USADO SIN CAJA) ;;;42.857,14;21,00%;30,00%;0,00%;107.438,02;SI;130.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Gigabyte;130;GABINETE GIGABYTE C102 GLASS X2 FANES ;;;45,35;10,50%;30,00%;30,00%;0,00;SI;65,15;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;181;GIGABYTE AM4 A320M-HD2 DDR4 (USADO) ;;;38.784,74;10,50%;30,00%;40,00%;0,00;SI;59.999,99;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;271;GIGABYTE AM4 A520M-K V2 DDR4 ;;;59,91;10,50%;30,00%;30,00%;0,00;SI;86,06;u$s;4,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;260;GIGABYTE AM4 A520M-K V2 DDR4 (USADO) ;;;42.857,14;21,00%;30,00%;0,00%;49.586,78;SI;60.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;179;GIGABYTE AM4 B550M-K DDR4 ;;;78,93;10,50%;30,00%;25,00%;0,00;SI;109,02;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;242;GIGABYTE AM5 A620M H BOX M-ATX DDR5 ;;;89,23;10,50%;30,00%;30,00%;0,00;SI;128,18;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
